x,Separation
0.25587,0.0025
0.29775,0.0487
0.34932,0.1415
0.40089,0.2601
0.45143,0.3787
0.50197,0.5544
0.55098,0.7456
0.601,0.942
0.65153,1.2264
0.70154,1.5212
0.75155,1.8316
0.80156,2.1782
0.85157,2.5249
0.90106,2.9078
0.95259,3.3217
1.00208,3.7357
1.05207,4.1704
1.10207,4.6
1.15257,5.071
1.20205,5.5523
1.25204,6.0233
1.30152,6.5098
1.35202,7.0067
1.40149,7.5243
1.45199,8.0368
1.50146,8.544
1.55042,9.0824
1.5999,9.6207
1.64937,10.1643
1.69781,10.713
1.74729,11.2617
1.79573,11.8104
1.84418,12.4006
1.89313,12.9959
1.94208,13.6224
1.99052,14.2384
2.03691,14.9271
