simt,UA1205_F_lb
0,0
0.25,1286490
0.626,1292980
0.789,1293520
1.141,1280520
1.357,1272400
1.792,1268060
2.389,1266970
3.639,1269650
5.54,1270700
7.578,1270130
9.18,1267940
10.103,1265210
12.493,1256510
15.262,1245630
17.272,1235850
18.901,1225540
20.014,1219020
22.294,1201120
25.062,1178870
27.587,1156630
30.029,1132770
32.96,1104560
36.136,1075270
39.963,1043800
42.542,1024270
45.881,1002010
50.008,980280
53.348,962900
57.013,947680
59.973,938430
64.699,931850
67.768,928010
69.859,922560
73.416,911670
75.045,902980
77.625,894270
79.906,886110
83.029,876860
84.713,873040
87.727,865950
89.9,861040
93.213,855030
95.983,849030
99.812,841380
101.795,837560
103.18,832660
104.049,827780
104.645,819640
105.16,805020
105.539,784980
106.023,724330
106.506,660970
106.883,618190
107.044,598150
107.772,533160
108.501,480630
109.203,436220
109.689,402100
109.987,382600
110.932,324110
111.608,281860
112.635,226080
113.068,202240
114.315,172440
115.534,139940
116.374,117180
117.214,84680
117.944,50560
118.594,27260
119.218,20750
119.952,21280
122.367,0
